date,people_vaccinated,people_fully_vaccinated,total_vaccinations
2021-01-31,331190,15600,346790
2021-02-01,331190,15600,346790
2021-02-02,336908,39000,375908
2021-02-03,373593,42500,416093
2021-02-04,404998,50000,454998
2021-02-05,439285,56250,495535
2021-02-06,464210,68507,532717
2021-02-07,491848,77014,568862
2021-02-08,493098,78264,571362
2021-02-09,514920,81014,595934
2021-02-10,539632,86514,626146
2021-02-11,568270,92014,660284
2021-02-12,595366,99522,694888
2021-02-13,618146,107029,725175
2021-02-14,599546,154818,754364
2021-02-15,618718,164886,783604
2021-02-16,632912,167992,800904
2021-02-17,657156,178772,835928
2021-02-18,762515,153197,915712
2021-02-19,823832,134612,958444
2021-02-20,778698,208704,987402
2021-02-21,801202,213054,1014256
2021-02-22,841918,220917,1062835
2021-02-23,883558,228940,1112498
2021-02-24,931164,238100,1169264
2021-02-25,987290,248862,1236152
2021-02-26,988362,297335,1285697
2021-02-27,1021390,297571,1318961
2021-02-28,1038706,297916,1336622
2021-03-01,1051245,328274,1379519
2021-03-02,1092208,332972,1425180
2021-03-03,1129044,341438,1470482
2021-03-04,1183970,342894,1526864
2021-03-05,1210976,360165,1571141
2021-03-06,1229225,366851,1596076
2021-03-07,1246059,373847,1619906
2021-03-08,1228814,427380,1656194
2021-03-09,1244940,451503,1696443
2021-03-10,1273866,466172,1740038
2021-03-11,1300710,483966,1784676
2021-03-12,1332826,500076,1832902
2021-03-13,1353208,512276,1865484
2021-03-14,1369816,522808,1892624
2021-03-15,1416854,498652,1915506
2021-03-16,1445909,500662,1946571
2021-03-17,1480246,496914,1977160
2021-03-18,1499026,509182,2008208
2021-03-19,1522686,518178,2040864
2021-03-20,1537130,533274,2070404
2021-03-21,1547798,550368,2098166
2021-03-22,1526135,596221,2122356
2021-03-23,1554632,611763,2166395
2021-03-24,1595304,629084,2224388
2021-03-25,1628930,639132,2268062
2021-03-26,1668602,654930,2323532
2021-03-27,1679164,676216,2355380
2021-03-28,1694302,684422,2378724
2021-03-29,1749776,690229,2440005
2021-03-30,1807214,697984,2505198
2021-03-31,1867245,710328,2577573
2021-04-01,1934884,729164,2664048
2021-04-02,1989140,752814,2741954
2021-04-03,2003890,779312,2783202
2021-04-04,2023858,795761,2819619
2021-04-05,2099627,809724,2909351
2021-04-06,2126293,837566,2963859
2021-04-07,2151660,864506,3016166
2021-04-08,2183288,895254,3078542
2021-04-09,2209526,926282,3135808
2021-04-10,2247480,935256,3182736
2021-04-11,2247480,935256,3182736
2021-04-12,2890556,1009802,3900358
2021-04-13,2988992,1031736,4020728
2021-04-14,3129000,1007908,4136908
2021-04-15,3227654,1025370,4253024
2021-04-16,3314218,1050171,4364389
2021-04-17,3392673,1080886,4473559
2021-04-18,3487082,1091476,4578558
2021-04-19,3585500,1102680,4688180
2021-04-20,3774398,1012644,4787042
2021-04-21,3847581,1025921,4873502
2021-04-22,3907703,1044897,4952600
2021-04-23,3968018,1071242,5039260
2021-04-24,4027163,1100877,5128040
2021-04-25,4094484,1112882,5207366
2021-04-26,4170273,1123447,5293720
2021-04-27,4170273,1123447,5293720
2021-04-28,4002926,1252600,5255526
2021-04-29,4080672,1268606,5349278
2021-04-30,4155988,1286496,5442484
2021-05-01,4236704,1306857,5543561
2021-05-02,4312501,1322898,5635399
2021-05-03,4312501,1322898,5635399
2021-05-04,4495314,1346816,5842130
2021-05-05,4548208,1378486,5926694
2021-05-06,4633816,1406268,6040084
2021-05-07,4720280,1436234,6156514
2021-05-08,4808472,1462450,6270922
2021-05-09,4898090,1480935,6379025
2021-05-10,4916938,1583262,6500200
2021-05-11,5016053,1611389,6627442
2021-05-12,5138282,1634582,6772864
2021-05-13,5243524,1667872,6911396
2021-05-14,5338512,1702922,7041434
2021-05-15,5440184,1741038,7181222
2021-05-16,5540380,1780360,7320740
2021-05-17,5634016,1833014,7467030
2021-05-18,5729150,1882797,7611947
2021-05-19,5801046,1949911,7750957
2021-05-20,5788342,2097438,7885780
2021-05-21,5861516,2158964,8020480
2021-05-22,5932992,2220542,8153534
2021-05-23,6024458,2285564,8310022
2021-05-24,6048628,2342240,8390868
2021-05-25,6064804,2423102,8487906
2021-05-26,6064804,2423102,8487906
2021-05-27,6235534,2566266,8801800
2021-05-28,6298807,2623548,8922355
2021-05-29,6375576,2685249,9060825
2021-05-30,6437066,2742540,9179606
2021-05-31,6514258,2800529,9314787
2021-06-01,6702394,2889102,9591496
2021-06-02,6814734,2942848,9757582
2021-06-03,6902122,3012154,9914276
2021-06-04,6987776,3073930,10061706
2021-06-05,7072240,3136540,10208780
2021-06-06,7161724,3202263,10363987
2021-06-07,7298586,3327398,10625984
2021-06-08,7743272,3820766,11564038
2021-06-09,7922788,3915200,11837988
2021-06-10,8096765,4009195,12105960
2021-06-11,8251967,4114321,12366288
2021-06-12,8493370,4234526,12727896
2021-06-13,8641470,4341974,12983444
2021-06-14,8744750,4467024,13211774
2021-06-15,8847938,4595208,13443146
2021-06-16,8942151,4725155,13667306
2021-06-17,9019606,4869054,13888660
2021-06-18,9102032,5008264,14110296
2021-06-19,9193544,5140517,14334061
2021-06-20,9276058,5275096,14551154
2021-06-21,9389200,5381422,14770622
2021-06-22,9482149,5507944,14990093
2021-06-23,9587059,5623158,15210217
